#{"t_start": 1686537962.0097654, "env_id": null}
r,l,t
0.24,6,2441.430419
0.08,2,2442.117773
0.08,2,2442.921134
0.18,2,2443.709229
0.09,1,2444.089823
0.18,2,2444.941133
0.9,20,2452.209809
-13.84,34,2464.558865
0.14,6,2466.804736
-0.03,3,2467.928294
0.12,8,2470.942889
-4.63,13,2475.68749
-15.19,29,2486.224059
-13.65,25,2495.589856
-5.44,24,2504.307984
-1.86,16,2510.281298
5.79,31,2521.585543
0.09,1,2522.023701
0.31,9,2525.347144
0.16,4,2526.787078
0.17,3,2527.894847
0.09,1,2528.312737
-0.01,1,2528.697767
0.09,1,2529.153538
-19.52,52,2548.305601
0.27,3,2549.511833
0.08,2,2550.251739
-0.02,2,2551.09899
0.08,2,2551.87394
0.09,1,2552.286751
0.09,1,2552.70178
0.18,2,2553.476155
0.09,1,2553.837098
0.08,2,2554.643757
0.07,3,2555.743733
0.16,4,2557.239675
0.08,2,2557.982965
0.07,3,2559.141971
0.09,1,2559.510269
1.47,33,2571.660359
0.33,7,2574.288071
0.4,10,2577.90325
0.31,19,2585.040021
0.17,3,2586.20663
-0.04,4,2587.706475
0.17,3,2588.91725
-0.01,1,2589.284958
0.3,10,2593.075988
0.25,5,2594.969708
-4.81,11,2599.130512
0.09,1,2599.484357
12.11,74,2626.791497
0.18,2,2627.606205
0.07,3,2628.750472
0.26,4,2630.319264
0.26,4,2631.908462
0.09,1,2632.313618
0.17,3,2633.433787
-0.03,3,2634.519367
0.15,5,2636.317537
-0.03,3,2637.526263
-0.03,3,2638.682116
0.38,12,2643.101319
0.07,3,2644.258235
0.24,6,2646.552152
-0.01,1,2646.948703
0.07,3,2648.058977
-3.88,28,2658.456616
-0.02,2,2659.157889
0.32,8,2661.997472
-9.71,31,2674.244987
0.67,23,2682.647064
0.48,12,2687.114926
-0.01,1,2687.491278
-4.09,39,2701.661064
0.49,21,2709.195964
0.09,1,2709.593205
0.27,3,2710.76639
0.08,2,2711.536752
0.74,26,2720.699071
0.18,2,2721.46154
-13.82,52,2740.890009
1.62,38,2754.87489
1.11,19,2761.852262
0.08,2,2762.60739
1.77,43,2778.403763
0.07,3,2779.54342
0.06,4,2781.103144
0.18,2,2781.876318
0.09,1,2782.306538
0.18,2,2783.090883
0.25,5,2785.003854
0.25,5,2786.925396
0.07,3,2788.067081
0.18,2,2788.828606
0.08,2,2789.627143
0.08,2,2790.397157
1.43,27,2800.265304
0.68,22,2808.479854
0.03,7,2811.207761
0.18,2,2811.987545
0.08,2,2812.716988
1.66,34,2825.289549
0.18,2,2826.085747
0.18,2,2826.839425
-0.01,1,2827.224028
0.09,1,2827.589507
0.17,3,2828.769354
-0.02,2,2829.510155
0.08,2,2830.302719
-0.02,2,2831.104268
0.08,2,2831.800723
0.08,2,2832.599609
0.09,1,2832.998768
0.09,1,2833.474828
-0.02,2,2834.21517
0.08,2,2834.980034
0.49,11,2839.344254
0.85,15,2844.82285
0.82,18,2851.379072
0.76,14,2856.776822
0.25,5,2858.681623
0.85,15,2864.300684
0.58,12,2868.929636
1.55,25,2878.112524
-3.8,40,2893.156652
0.35,5,2895.142652
1.98,32,2906.99384
1.21,29,2917.825739
-13.82,42,2933.602826
1.13,27,2943.497633
0.08,2,2944.336904
0.07,3,2945.462573
-0.01,1,2945.90826
0.09,1,2946.2974
0.09,1,2946.701853
0.08,2,2947.491595
0.26,4,2948.995332
0.3,10,2952.650086
0.39,11,2956.723244
0.44,6,2958.932604
-0.02,2,2959.682769
0.17,3,2960.767288
-0.02,2,2961.513038
0.06,4,2962.985198
-4.54,14,2968.164008
0.3,10,2972.060147
0.44,6,2974.317305
0.44,6,2976.620616
-0.02,2,2977.411976
-0.04,4,2978.966999
